,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
288,Grant Hanley ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
289,Ollie Harfield ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
290,Rekeem Harper ,Midfielder,1,,,1,100%,,0,0,0,0,,2,1,1,0,0,0,,0,0,5,5,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
291,Joe Hart ,Goalkeeper,19,4,39,,,,,,,,,,,,,,,0,4,1,544,28.63,,,,,185,0,0,1,,0,,,,,,,,,,
292,Jakob Haugaard ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
293,Isaac Hayden ,Midfielder,26,,,40,57%,,1,23,40,20,,69,106,123,6,51,45,,0,0,527,20.27,0,17,29%,0,14,7,0,30,0,1,0,1,0,0,0.04,,,,,
294,Eden Hazard ,Forward,34,,,6,,,18,3,0,0,,,,,,,,,,4,"1,369",40.26,9,51,,,,2,0,13,16,12,0,8,4,0,0.35,,,,,
295,Tom Heaton ,Goalkeeper,4,0,4,,,,,,,,,,,,,,,0,0,0,94,23.5,,,,,34,0,0,0,,0,,,,,,,,,,
296,Michael Hefele ,Defender,2,0,1,0,0%,0,0,1,5,4,0,1,1,2,0,1,0,0,0,0,9,4.5,0,0,0%,0,0,1,0,2,0,0,0,0,0,0,,,,,,
297,Tomer Hemed ,Forward,16,,,7,,,4,2,12,8,,,,,,,,,,2,234,14.63,0,1,,,,0,0,10,7,2,1,1,0,1,0.13,,,,,
298,Jordan Henderson ,Midfielder,27,,,51,65%,,4,31,20,5,,213,98,90,8,28,11,,0,1,"2,085",77.22,2,25,20%,7,152,1,0,26,0,1,0,1,0,1,0.04,,,,,
299,Jeff Hendrick ,Midfielder,34,,,16,63%,,10,8,20,8,,113,73,132,24,15,58,,0,2,802,23.59,3,23,17%,5,20,1,0,19,16,2,0,2,0,0,0.06,,,,,
300,Wayne Hennessey ,Goalkeeper,27,7,41,,,,,,,,,,,,,,,0,0,0,689,25.52,,,,,229,1,0,0,,0,,,,,,,,,,
301,Henrik Bjørdal ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
302,Dion Henry ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
303,Ander Herrera ,Midfielder,26,,,56,52%,,6,34,20,4,,104,103,105,10,9,10,,0,2,"1,043",40.12,2,15,7%,4,38,5,0,28,2,0,0,0,0,0,0,,,,,
304,Jake Hesketh ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
305,Heurelho Gomes ,Goalkeeper,24,5,40,,,,,,,,,,,,,,,0,2,0,630,26.25,,,,,208,0,0,1,,0,,,,,,,,,,
306,Mateusz Hewelt ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
307,Ryan Hill ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
308,Jordy Hiwula-Mayifuila ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
309,Tommie Hoban ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
310,Shaun Hobson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
311,Wesley Hoedt ,Defender,28,5,42,60,85%,1,3,40,172,82,0,200,161,104,25,61,53,0,2,1,"1,323",47.25,1,6,17%,1,142,7,0,22,0,0,0,0,0,2,,,,,,
312,Jonathan Hogg ,Midfielder,30,,,93,69%,,4,70,45,19,,209,164,145,8,35,30,,0,0,"1,413",47.1,0,3,33%,2,62,8,1,32,0,0,0,0,0,0,0,,,,,
313,Rob Holding ,Defender,12,3,17,19,74%,1,1,21,39,18,0,67,56,46,5,28,20,0,0,0,603,50.25,0,0,0%,1,30,3,0,9,0,0,0,0,0,0,,,,,,
314,José Holebas ,Defender,28,5,47,51,61%,0,7,29,81,43,0,160,136,142,23,45,35,0,1,4,958,34.21,6,210,21%,0,55,7,0,37,1,0,0,0,0,0,,,,,,
315,Mason Holgate ,Defender,15,4,14,23,70%,0,1,23,82,44,0,57,75,68,8,33,41,0,1,0,475,31.67,1,12,25%,0,44,3,0,12,1,0,0,0,0,1,,,,,,
316,Nathan Holland ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
317,Jordan Holmes ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
318,Tareiq Holmes-Dennis ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
319,Fraser Hornby ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
320,Mark Hudson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
321,Callum Hudson-Odoi ,Forward,2,,,0,,,1,0,0,0,,,,,,,,,,0,16,8,0,2,,,,0,0,0,0,0,0,0,0,0,0,,,,,
322,Sam Hughes ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
323,Jordan Hugill ,Forward,3,,,0,,,0,0,0,0,,,,,,,,,,0,9,3,0,0,,,,0,0,3,0,0,0,0,0,0,0,,,,,
324,Uwe Hünemeier ,Defender,1,0,1,0,0%,0,0,0,4,3,0,0,2,0,0,2,0,0,0,0,4,4,0,0,0%,0,1,0,0,0,0,0,0,0,0,0,,,,,,
325,Des Hutchinson ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
326,Robert Huth ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
327,Emerson Hyndman ,Midfielder,1,,,0,0%,,0,1,0,0,,2,0,1,0,0,0,,0,0,24,24,0,0,0%,0,2,0,0,0,0,0,0,0,0,0,0,,,,,
328,Pierre-Emile Højbjerg ,Midfielder,23,,,45,64%,,5,37,24,15,,180,123,137,21,28,28,,1,0,"1,108",48.17,0,12,25%,5,51,6,0,32,1,0,0,0,0,1,0,,,,,
329,Jordon Ibe ,Midfielder,32,,,14,86%,,21,10,9,4,,101,95,141,37,4,15,,0,6,695,21.72,6,109,28%,5,21,1,0,10,2,2,0,2,0,2,0.06,,,,,
330,Vicente Iborra ,Midfielder,19,,,23,78%,,1,19,49,30,,127,84,89,11,33,34,,0,0,857,45.11,0,1,0%,2,45,0,0,19,2,3,2,0,1,0,0.16,,,,,
331,Zlatan Ibrahimovic ,Forward,5,,,2,,,2,0,1,0,,,,,,,,,,0,76,15.2,0,2,,,,0,0,1,2,0,0,0,0,0,0,,,,,
332,Kelechi Iheanacho ,Forward,21,,,9,,,9,3,4,3,,,,,,,,,,3,246,11.71,4,5,,,,2,0,17,4,3,1,0,2,2,0.14,,,,,
333,Dejan Iliev ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
334,Giannelli Imbula ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
335,Rohan Ince ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
336,Danny Ings ,Forward,8,,,5,,,1,2,1,1,,,,,,,,,,0,76,9.5,0,3,,,,0,0,6,3,1,0,0,1,0,0.13,,,,,
337,Ryan Inniss ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
338,Stephen Ireland ,Midfielder,4,,,3,33%,,0,1,1,0,,2,5,8,1,0,2,,0,0,66,16.5,0,0,0%,1,2,1,0,1,0,0,0,0,0,1,0,,,,,
339,Isaac Success ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
340,Alex Iwobi ,Forward,26,,,19,,,11,7,8,4,,,,,,,,,,5,"1,137",43.73,6,20,,,,1,0,11,1,3,0,2,1,1,0.12,,,,,
341,José Izquierdo ,Forward,32,,,23,,,14,16,25,9,,,,,,,,,,3,523,16.34,4,23,,,,2,0,20,14,5,0,5,0,0,0.16,,,,,
342,Jaroslaw Jach ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
343,Brad Jackson ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
344,Phil Jagielka ,Defender,25,6,39,33,70%,0,2,39,177,89,2,123,114,67,1,67,42,0,0,0,966,38.64,0,4,0%,0,110,2,0,8,0,0,0,0,0,0,,,,,,
345,Eldin Jakupovic ,Goalkeeper,2,0,6,,,,,,,,,,,,,,,0,0,0,43,21.5,,,,,17,0,0,0,,0,,,,,,,,,,
346,Matty James ,Midfielder,13,,,19,53%,,5,17,24,9,,56,52,53,8,20,15,,0,0,446,34.31,0,2,0%,1,16,2,0,21,0,0,0,0,0,1,0,,,,,
347,Kyle Jameson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
348,Daryl Janmaat ,Defender,23,2,37,46,67%,0,5,33,53,26,0,114,86,82,10,27,17,0,0,0,768,33.39,2,68,24%,0,54,3,0,14,1,3,1,1,1,1,,,,,,
349,Vincent Janssen ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,1,0,0,0,0,0,0,0,,,,,
350,Adnan Januzaj ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
351,Carl Jenkinson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
352,Jesé ,Forward,13,,,10,,,4,0,3,2,,,,,,,,,,1,146,11.23,0,13,,,,0,0,5,1,1,0,0,1,0,0.08,,,,,
353,Jesús Gámez ,Defender,2,1,0,4,50%,0,0,2,5,3,0,6,7,2,1,1,0,0,0,0,45,22.5,0,5,20%,0,2,0,0,0,0,0,0,0,0,0,,,,,,
354,João Mário ,Midfielder,13,,,14,79%,,4,8,3,2,,76,58,81,17,7,27,,0,1,442,34,1,50,22%,5,10,0,0,14,0,2,0,2,0,0,0.15,,,,,
355,Joel Pereira ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
356,Darnell Johnson ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
357,Sam Johnstone ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
358,Jonathan Dinzeyi ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
359,Jonathan Williams ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
360,Curtis Jones ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
361,Jordan Williams ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
362,Jordi Amat ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
363,José Fonte ,Defender,8,3,11,11,55%,0,2,14,36,25,0,32,38,30,1,21,19,0,0,1,347,43.38,1,3,67%,0,30,0,0,6,0,0,0,0,0,0,,,,,,
364,Joselu ,Forward,30,,,22,,,8,11,35,24,,,,,,,,,,1,593,19.77,1,6,,,,2,0,30,3,4,0,3,1,1,0.13,,,,,
365,Josh Dasilva ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
366,Christian Kabasele ,Defender,28,6,43,42,60%,1,0,34,173,99,2,98,164,93,3,103,46,1,0,0,903,32.25,0,1,0%,0,64,5,0,31,0,2,2,0,0,0,,,,,,
367,Younes Kaboul ,Defender,2,0,3,3,67%,0,0,2,15,10,0,7,11,5,0,8,3,0,0,0,76,38,0,0,0%,0,10,0,0,1,0,0,0,0,0,0,,,,,,
368,Elias Kachunga ,Forward,19,,,30,,,3,2,7,3,,,,,,,,,,1,339,17.84,0,24,,,,1,0,20,5,1,0,1,0,0,0.05,,,,,
369,Sullay Kaikai ,Midfielder,1,,,1,0%,,0,0,1,0,,2,3,1,2,0,1,,0,0,6,6,0,2,0%,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
370,Tomas Kalas ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
371,Harry Kane ,Forward,37,,,17,,,48,5,19,14,,,,,,,,,,2,657,17.76,5,20,,,,5,0,34,42,30,6,13,10,6,0.81,,,,,
372,N'Golo Kanté ,Midfielder,34,,,113,68%,,14,85,26,10,,312,191,179,47,17,32,,0,1,"2,150",63.24,4,13,15%,9,89,3,0,41,1,1,0,1,0,0,0.03,,,,,
373,Bartosz Kapustka ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
374,Loris Karius ,Goalkeeper,19,10,14,,,,,,,,,,,,,,,0,0,0,521,27.42,,,,,77,1,0,2,,0,,,,,,,,,,
375,Orestis Karnezis ,Goalkeeper,15,4,24,,,,,,,,,,,,,,,0,2,0,373,24.87,,,,,131,0,0,0,,0,,,,,,,,,,
376,Beram Kayal ,Midfielder,19,,,18,61%,,1,12,8,2,,54,46,54,5,8,8,,0,0,227,11.95,1,5,40%,0,8,2,0,15,1,0,0,0,0,0,0,,,,,
377,Olarenwaju Kayode ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
378,Michael Keane ,Defender,30,7,46,33,76%,0,2,53,206,146,0,138,178,133,7,129,87,0,0,1,"1,157",38.57,2,4,25%,0,96,3,0,21,4,0,0,0,0,0,,,,,,
379,Martin Kelly ,Defender,15,3,21,19,68%,1,2,9,63,34,1,43,52,58,2,27,36,1,1,0,343,22.87,0,6,0%,0,27,1,0,8,0,0,0,0,0,0,,,,,,
380,Daniel Kemp ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
381,Kenedy ,Forward,13,,,31,,,11,14,9,5,,,,,,,,,,2,351,27,2,38,,,,1,0,15,0,2,0,0,2,3,0.15,,,,,
382,Jonjoe Kenny ,Defender,19,5,31,41,80%,0,1,28,73,41,0,85,89,75,6,38,31,0,0,1,587,30.89,2,46,26%,0,49,2,0,17,0,0,0,0,0,0,,,,,,
383,Ryan Kent ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
384,Ki Sung-Yueng ,Midfielder,25,,,25,72%,,6,32,20,5,,95,54,57,7,5,21,,0,2,836,33.44,2,62,34%,1,63,2,0,10,1,2,0,1,1,0,0.08,,,,,
385,Kiko Femenía ,Defender,23,3,34,36,78%,0,2,34,30,14,0,108,92,53,25,10,16,0,0,1,794,34.52,3,60,25%,1,28,2,0,7,2,1,0,1,0,0,,,,,,
386,Joshua King ,Forward,33,,,36,,,15,4,14,9,,,,,,,,,,3,689,20.88,8,34,,,,3,0,45,4,8,0,6,2,1,0.24,,,,,
387,Stephen Kingsley ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
388,Nya Kirby ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
389,Davy Klaassen ,Midfielder,7,,,3,33%,,0,1,1,0,,10,7,13,0,3,3,,0,0,99,14.14,0,3,0%,0,3,0,0,5,1,0,0,0,0,0,0,,,,,
390,Ragnar Klavan ,Defender,19,8,15,14,71%,0,0,15,82,38,0,96,67,55,4,39,40,0,0,0,"1,198",63.05,0,1,0%,1,52,0,0,7,0,1,1,0,0,0,,,,,,
391,Josh Knight ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
392,Anthony Knockaert ,Midfielder,33,,,39,67%,,13,23,13,6,,171,139,140,62,16,19,,0,1,984,29.82,3,98,18%,4,43,4,1,22,8,3,0,1,2,2,0.09,,,,,
393,Aleksandar Kolarov ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
394,Sead Kolasinac ,Defender,27,9,30,49,76%,0,7,26,53,27,0,134,118,107,12,47,32,0,0,4,"1,268",46.96,6,42,14%,0,25,3,0,32,1,2,0,0,2,1,,,,,,
395,Vincent Kompany ,Defender,17,6,12,20,55%,1,2,16,71,39,0,91,66,38,3,42,12,0,0,1,"1,429",84.06,1,0,0%,1,84,6,0,18,0,1,1,0,0,0,,,,,,
396,Terence Kongolo ,Defender,13,2,14,33,61%,0,0,32,64,31,0,50,77,34,7,28,13,0,0,0,311,23.92,0,10,20%,0,12,0,0,5,0,0,0,0,0,0,,,,,,
397,Laurent Koscielny ,Defender,25,8,32,43,49%,0,2,54,134,79,0,160,148,92,2,80,61,0,1,0,"1,745",69.8,0,5,20%,2,111,4,0,14,2,2,1,1,0,1,,,,,,
398,Cheikhou Kouyaté ,Midfielder,33,,,71,69%,,7,32,49,37,,188,251,234,20,123,113,,0,3,955,28.94,0,17,24%,5,15,5,0,45,6,2,1,0,0,1,0.06,,,,,
399,Tim Krul ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
400,Grzegorz Krychowiak ,Midfielder,27,,,40,63%,,3,45,23,13,,125,122,109,19,26,15,,0,2,813,30.11,4,18,22%,6,48,2,0,31,1,0,0,0,0,1,0,,,,,
401,Alexandre Lacazette ,Forward,32,,,24,,,17,7,4,1,,,,,,,,,,4,722,22.56,5,16,,,,1,0,28,23,14,2,10,2,2,0.44,,,,,
402,Adam Lallana ,Midfielder,12,,,3,33%,,6,1,1,0,,15,17,27,6,3,4,,0,0,220,18.33,0,8,25%,0,4,1,0,4,1,0,0,0,0,0,0,,,,,
403,Erik Lamela ,Midfielder,25,,,23,57%,,6,7,4,4,,49,68,86,23,6,14,,0,2,446,17.84,4,25,32%,5,12,4,0,24,3,2,0,0,2,1,0.08,,,,,
404,Manuel Lanzini ,Midfielder,27,,,20,55%,,12,30,5,1,,165,123,135,65,3,10,,1,6,"1,214",44.96,6,82,20%,6,31,4,0,9,3,5,0,4,1,0,0.19,,,,,
405,Aymeric Laporte ,Defender,9,4,5,8,88%,0,3,11,26,16,0,90,39,23,3,24,9,0,0,0,811,90.11,0,2,50%,1,42,1,0,10,0,0,0,0,0,0,,,,,,
406,Jamaal Lascelles ,Defender,33,9,31,31,61%,2,0,28,230,140,1,179,176,88,5,128,60,0,0,0,"1,184",35.88,0,2,0%,0,79,5,0,16,0,3,3,0,0,0,,,,,,
407,Joel Latibeaudiere ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
408,Shayne Lavery ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
409,Tom Lawrence ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
410,Achraf Lazaar ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
411,Lee Chung-Yong ,Midfielder,7,,,2,0%,,0,2,0,0,,7,8,9,2,2,4,,1,0,67,9.57,0,7,0%,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
412,Adam Legzdins ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
413,Florian Lejeune ,Defender,24,5,32,33,61%,1,4,46,146,81,1,128,141,89,12,83,51,0,0,2,"1,071",44.63,2,4,0%,2,108,3,0,17,2,0,0,0,0,0,,,,,,
414,Jonathan Leko ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
415,Mario Lemina ,Midfielder,25,,,55,73%,,5,36,33,21,,139,151,96,55,25,13,,1,1,971,38.84,1,10,10%,6,41,2,0,28,2,1,0,1,0,1,0.04,,,,,
416,Aaron Lennon ,Midfielder,29,,,37,65%,,7,19,16,3,,82,81,127,15,12,19,,0,2,468,16.14,1,38,18%,0,8,2,0,21,1,0,0,0,0,1,0,,,,,
417,Filip Lesniak ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
418,Harry Lewis ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
419,Lewis Cook ,Midfielder,29,,,67,52%,,8,35,21,8,,198,151,158,50,14,27,,1,2,"1,228",42.34,0,29,31%,5,107,5,0,33,1,0,0,0,0,0,0,,,,,
420,Anders Lindegaard ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
421,Victor Lindelöf ,Defender,17,5,14,17,65%,0,1,13,64,36,0,94,51,41,4,22,25,0,1,0,751,44.18,1,1,0%,0,30,1,0,10,0,0,0,0,0,0,,,,,,
422,Jesse Lingard ,Midfielder,33,,,30,70%,,15,9,10,0,,84,99,124,28,5,26,,0,5,932,28.24,4,46,17%,8,19,2,0,34,4,8,1,7,0,3,0.24,,,,,
423,Jake Livermore ,Midfielder,34,,,72,57%,,4,26,28,10,,173,128,152,19,23,37,,0,2,"1,103",32.44,2,16,19%,8,65,5,0,42,1,2,0,2,0,1,0.06,,,,,
424,Fernando Llorente ,Forward,16,,,6,,,2,0,6,5,,,,,,,,,,0,88,5.5,0,0,,,,1,0,4,2,1,1,0,0,0,0.06,,,,,
425,Hugo Lloris ,Goalkeeper,36,15,35,,,,,,,,,,,,,,,0,5,0,996,27.67,,,,,217,1,0,1,,0,,,,,,,,,,
426,Jürgen Locadia ,Forward,6,,,1,,,2,1,0,0,,,,,,,,,,1,51,8.5,0,3,,,,0,0,2,2,1,0,0,1,0,0.17,,,,,
427,Ruben Loftus-Cheek ,Midfielder,24,,,21,71%,,13,22,26,16,,130,188,180,73,32,55,,0,3,723,30.13,5,12,25%,1,24,1,0,17,3,2,0,2,0,1,0.08,,,,,
428,Jason Lokilo ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
429,Joe Lolley ,Forward,6,,,2,,,0,3,1,0,,,,,,,,,,0,65,10.83,0,8,,,,1,0,3,0,1,0,0,1,0,0.17,,,,,
430,Kevin Long ,Defender,16,4,21,32,72%,0,5,19,127,76,0,68,131,84,0,80,58,1,1,2,541,33.81,3,2,0%,0,61,1,0,15,1,1,1,0,0,1,,,,,,
431,Ademola Lookman ,Forward,7,,,1,,,2,1,2,0,,,,,,,,,,1,45,6.43,1,2,,,,0,0,5,0,0,0,0,0,0,0,,,,,
432,Jonas Lössl ,Goalkeeper,38,10,58,,,,,,,,,,,,,,,1,3,1,"1,284",33.79,,,,,420,1,0,0,,0,,,,,,,,,,
433,Dejan Lovren ,Defender,29,10,24,26,65%,0,4,38,142,86,0,107,136,85,0,104,60,0,1,1,"1,803",62.17,1,4,50%,0,91,4,0,15,1,2,2,0,0,0,,,,,,
434,Matthew Lowton ,Defender,26,8,26,55,62%,0,1,39,112,55,1,111,115,95,11,34,29,0,0,3,823,31.65,3,71,21%,1,72,1,0,19,1,0,0,0,0,0,,,,,,
435,Kazenga LuaLua ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
436,Lucas Leiva ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
437,Lucas Moura ,Forward,6,,,4,,,1,2,2,2,,,,,,,,,,1,113,18.83,0,1,,,,0,0,4,0,0,0,0,0,0,0,,,,,
