,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
94,Brad Smith ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,Robbie Brady ,Midfielder,15,,,32,66%,,11,7,25,11,,74,68,81,16,9,12,,0,2,454,30.27,3,123,32%,4,31,3,0,20,3,1,0,1,0,1,0.07,,,,,
96,Cohen Bramall ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97,Brandon Cooper ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98,Cameron Brannagan ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
99,Claudio Bravo ,Goalkeeper,3,1,1,,,,,,,,,,,,,,,0,0,0,55,18.33,,,,,10,0,0,0,,0,,,,,,,,,,
100,Rhian Brewster ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
101,Miguel Britos ,Defender,12,2,16,15,73%,0,0,12,44,28,0,45,50,35,2,27,19,0,1,0,388,32.33,2,5,20%,0,37,3,1,8,0,1,1,0,0,0,,,,,,
102,Leon Britton ,Midfielder,5,,,6,83%,,0,1,1,1,,19,7,18,0,0,4,,0,0,137,27.4,0,1,0%,0,2,1,0,7,0,0,0,0,0,0,0,,,,,
103,Nathan Broadhead ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
104,Isaiah Brown ,Midfielder,13,,,3,100%,,0,1,2,0,,17,25,43,6,13,24,,0,0,129,9.92,1,7,29%,0,5,0,0,3,1,0,0,0,0,0,0,,,,,
